ts,pressure,temperatureFahrenheit,temperatureCelsius,dewPointFahrenheit,dewPointCelsius,humidity,windSpeed,windGust,windDirectionDegrees,windDirectionWords,condition
1546305600000,29.02,41.0,"5,00",39.0,"3,89",93.0,1.0,0.0,320.0,NW,Mist
1546307400000,29.02,41.0,"5,00",41.0,"5,00",100.0,2.0,0.0,240.0,WSW,Mist
1546309200000,28.99,41.0,"5,00",41.0,"5,00",100.0,1.0,0.0,200.0,SSW,Mist
1546311000000,28.99,41.0,"5,00",41.0,"5,00",100.0,1.0,0.0,0.0,VAR,Mist
1546312800000,28.99,41.0,"5,00",39.0,"3,89",93.0,2.0,0.0,0.0,VAR,Mist
1546314600000,28.99,41.0,"5,00",41.0,"5,00",100.0,1.0,0.0,0.0,VAR,Mist
1546316400000,28.99,41.0,"5,00",41.0,"5,00",100.0,2.0,0.0,0.0,VAR,Mist
1546318200000,28.96,41.0,"5,00",39.0,"3,89",93.0,2.0,0.0,0.0,VAR,Mist
1546320000000,28.96,41.0,"5,00",39.0,"3,89",93.0,3.0,0.0,250.0,WSW,Mostly Cloudy
1546321800000,28.96,41.0,"5,00",39.0,"3,89",93.0,5.0,0.0,230.0,SW,Mostly Cloudy
1546323600000,28.93,41.0,"5,00",39.0,"3,89",93.0,6.0,0.0,250.0,WSW,Mostly Cloudy
1546325400000,28.93,41.0,"5,00",37.0,"2,78",87.0,8.0,0.0,240.0,WSW,Cloudy
1546327200000,28.93,43.0,"6,11",37.0,"2,78",81.0,6.0,0.0,260.0,W,Mostly Cloudy
1546329000000,28.91,41.0,"5,00",37.0,"2,78",87.0,7.0,0.0,240.0,WSW,Mostly Cloudy
1546330800000,28.93,37.0,"2,78",34.0,"1,11",87.0,6.0,0.0,250.0,WSW,Partly Cloudy
1546332600000,28.93,41.0,"5,00",36.0,"2,22",81.0,6.0,0.0,240.0,WSW,Partly Cloudy
1546334400000,28.93,41.0,"5,00",36.0,"2,22",81.0,6.0,0.0,240.0,WSW,Mostly Cloudy
1546336200000,28.93,41.0,"5,00",36.0,"2,22",81.0,6.0,0.0,230.0,SW,Mostly Cloudy
1546338000000,28.93,41.0,"5,00",36.0,"2,22",81.0,7.0,0.0,230.0,SW,Mostly Cloudy
1546339800000,28.91,41.0,"5,00",37.0,"2,78",87.0,7.0,0.0,250.0,WSW,Mostly Cloudy
1546341600000,28.91,43.0,"6,11",37.0,"2,78",81.0,7.0,0.0,250.0,WSW,Mostly Cloudy
1546343400000,28.91,43.0,"6,11",37.0,"2,78",81.0,13.0,0.0,260.0,W,Mostly Cloudy
1546345200000,28.91,43.0,"6,11",37.0,"2,78",81.0,7.0,0.0,240.0,WSW,Mostly Cloudy
1546347000000,28.91,43.0,"6,11",37.0,"2,78",81.0,10.0,0.0,270.0,W,Mostly Cloudy
1546348800000,28.91,41.0,"5,00",37.0,"2,78",87.0,12.0,0.0,280.0,W,Mostly Cloudy
1546350600000,28.91,41.0,"5,00",37.0,"2,78",87.0,12.0,0.0,280.0,W,Light Rain
1546352400000,28.88,41.0,"5,00",37.0,"2,78",87.0,14.0,0.0,270.0,W,Light Rain
1546354200000,28.88,41.0,"5,00",37.0,"2,78",87.0,12.0,0.0,260.0,W,Light Rain
1546356000000,28.88,43.0,"6,11",36.0,"2,22",76.0,12.0,0.0,250.0,WSW,Mostly Cloudy
1546357800000,28.85,43.0,"6,11",36.0,"2,22",76.0,12.0,0.0,240.0,WSW,Mostly Cloudy
1546359600000,28.85,43.0,"6,11",36.0,"2,22",76.0,12.0,0.0,250.0,WSW,Mostly Cloudy
1546361400000,28.85,43.0,"6,11",36.0,"2,22",76.0,12.0,0.0,250.0,WSW,Mostly Cloudy
1546363200000,28.85,41.0,"5,00",36.0,"2,22",81.0,13.0,0.0,260.0,W,Light Rain
1546365000000,28.85,41.0,"5,00",37.0,"2,78",87.0,13.0,0.0,260.0,W,Light Rain
1546366800000,28.85,41.0,"5,00",37.0,"2,78",87.0,14.0,0.0,260.0,W,Light Drizzle
1546368600000,28.85,39.0,"3,89",37.0,"2,78",93.0,10.0,0.0,250.0,WSW,Light Drizzle
1546370400000,28.85,41.0,"5,00",37.0,"2,78",87.0,12.0,0.0,240.0,WSW,Light Drizzle
1546372200000,28.85,41.0,"5,00",37.0,"2,78",87.0,12.0,0.0,240.0,WSW,Light Drizzle
1546374000000,28.85,39.0,"3,89",37.0,"2,78",93.0,12.0,0.0,250.0,WSW,Light Drizzle
1546375800000,28.85,39.0,"3,89",37.0,"2,78",93.0,12.0,0.0,240.0,WSW,Light Drizzle
1546377600000,28.85,39.0,"3,89",37.0,"2,78",93.0,12.0,0.0,240.0,WSW,Light Drizzle
1546379400000,28.85,39.0,"3,89",37.0,"2,78",93.0,9.0,0.0,240.0,WSW,Light Drizzle
1546381200000,28.85,41.0,"5,00",37.0,"2,78",87.0,10.0,0.0,250.0,WSW,Light Rain
1546383000000,28.85,41.0,"5,00",37.0,"2,78",87.0,12.0,0.0,270.0,W,Light Rain
1546384800000,28.85,39.0,"3,89",36.0,"2,22",87.0,18.0,0.0,290.0,WNW,Light Rain
