ts,pressure,temperatureFahrenheit,temperatureCelsius,dewPointFahrenheit,dewPointCelsius,humidity,windSpeed,windGust,windDirectionDegrees,windDirectionWords,condition
1546304400000,29.9,34.0,"1,11",32.0,"0,00",93.0,9.0,0.0,220.0,SW,Partly Cloudy
1546306200000,29.9,34.0,"1,11",32.0,"0,00",93.0,10.0,0.0,230.0,SW,Partly Cloudy
1546308000000,29.9,34.0,"1,11",32.0,"0,00",93.0,10.0,0.0,230.0,SW,Partly Cloudy
1546309800000,29.87,34.0,"1,11",32.0,"0,00",93.0,13.0,0.0,220.0,SW,Mostly Cloudy
1546311600000,29.87,34.0,"1,11",30.0,"-1,11",87.0,14.0,0.0,230.0,SW,Mostly Cloudy
1546313400000,29.84,34.0,"1,11",30.0,"-1,11",87.0,12.0,0.0,220.0,SW,Partly Cloudy
1546315200000,29.81,34.0,"1,11",30.0,"-1,11",87.0,13.0,0.0,220.0,SW,Mostly Cloudy
1546317000000,29.78,34.0,"1,11",30.0,"-1,11",87.0,13.0,0.0,210.0,SSW,Mostly Cloudy
1546318800000,29.75,34.0,"1,11",30.0,"-1,11",87.0,13.0,0.0,220.0,SW,Mostly Cloudy
1546320600000,29.73,36.0,"2,22",30.0,"-1,11",81.0,13.0,0.0,220.0,SW,Mostly Cloudy
1546322400000,29.7,36.0,"2,22",32.0,"0,00",87.0,13.0,0.0,210.0,SSW,Mostly Cloudy
1546324200000,29.7,36.0,"2,22",32.0,"0,00",87.0,14.0,0.0,210.0,SSW,Mostly Cloudy
1546326000000,29.67,36.0,"2,22",34.0,"1,11",93.0,13.0,0.0,220.0,SW,Light Drizzle
1546327800000,29.64,36.0,"2,22",36.0,"2,22",100.0,14.0,0.0,220.0,SW,Light Rain
1546329600000,29.64,36.0,"2,22",36.0,"2,22",100.0,14.0,0.0,210.0,SSW,Light Rain
1546331400000,29.61,37.0,"2,78",36.0,"2,22",93.0,14.0,0.0,220.0,SW,Light Rain
1546333200000,29.58,37.0,"2,78",37.0,"2,78",100.0,15.0,0.0,220.0,SW,Light Rain
1546335000000,29.58,39.0,"3,89",37.0,"2,78",93.0,14.0,0.0,220.0,SW,Mist
1546336800000,29.55,39.0,"3,89",39.0,"3,89",100.0,16.0,0.0,230.0,SW,Mist
1546338600000,29.52,41.0,"5,00",39.0,"3,89",93.0,17.0,0.0,230.0,SW,Light Rain
1546340400000,29.49,41.0,"5,00",39.0,"3,89",93.0,16.0,0.0,230.0,SW,Light Rain
